basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
11	184	184	11517	21517	1	5	27	16	14	2	5	1991	16	-9	0	-9
11	184	184	11517	21517	1	6	27	16	14	2	1	2003	4	-9	0	-9
11	184	184	11517	21517	1	7	26	15	14	1	10	1992	15	-9	0	-9
11	119	119	11464	21464	1	1	0	1	2	1	1	1947	60	-9	0	-9
11	119	119	11464	21464	1	2	1	0	3	2	11	1949	57	5	0	0
11	119	119	11464	21464	1	3	4	4	34	1	11	1983	23	11	0	0
11	119	119	11464	21464	1	4	4	4	6	1	5	1981	26	-9	0	-9
11	119	119	11464	21464	1	5	8	8	15	1	6	2003	4	-9	0	-9
11	119	119	11464	21464	1	6	9	9	16	2	4	2004	3	-9	0	-9
11	162	162	11500	21500	2	1	0	0	3	2	3	1945	62	6	0	0
11	162	162	11500	21500	2	2	4	4	6	1	12	1966	40	-9	0	-9
11	162	162	11500	21500	2	3	4	4	6	1	10	1980	27	-9	0	-9
11	162	162	11500	21500	2	4	5	5	7	2	6	1986	21	-9	0	-9
11	162	162	11500	21500	2	5	4	4	6	1	12	1982	24	-9	0	-9
11	162	162	11500	21500	2	6	20	20	22	2	4	1984	23	-9	0	-9
11	131	131	11475	21475	1	1	0	1	2	1	9	1957	50	-9	0	-9
11	131	131	11475	21475	1	2	1	0	3	2	5	1956	51	11	1	0
11	131	131	11475	21475	1	3	5	5	34	2	11	1983	24	11	1	0
11	131	131	11475	21475	1	4	4	4	6	1	6	1986	21	-9	0	-9
11	131	131	11475	21475	1	5	5	5	7	2	5	1991	16	-9	0	-9
11	133	133	11477	21477	1	1	0	1	2	1	2	1958	49	-9	0	-9
11	133	133	11477	21477	1	2	1	0	3	2	11	1957	50	6	0	0
11	133	133	11477	21477	1	3	4	4	6	1	2	1981	26	-9	0	-9
11	133	133	11477	21477	1	4	4	4	34	1	11	1983	24	2	0	0
11	133	133	11477	21477	1	5	5	5	7	2	11	1979	28	-9	0	-9
11	133	133	11477	21477	1	6	8	8	15	1	11	2005	2	-9	0	-9
11	194	194	11522	21522	1	1	0	0	3	2	7	1947	60	8	0	0
11	194	194	11522	21522	1	2	4	4	6	1	11	1979	28	-9	0	-9
28	168	168	13047	23047	2	6	5	5	7	2	10	1992	15	-9	0	-9
28	168	168	13047	23047	2	7	5	5	7	2	5	1994	13	-9	0	-9
32	38	38	13292	23292	1	1	0	1	2	1	9	1957	50	-9	0	-9
32	38	38	13292	23292	1	2	1	0	3	2	11	1958	49	6	0	0
32	38	38	13292	23292	1	3	5	5	7	2	3	1982	25	-9	0	-9
32	38	38	13292	23292	1	4	4	4	34	1	3	1984	23	11	0	0
32	38	38	13292	23292	1	5	4	4	6	1	8	1986	21	-9	0	-9
32	38	38	13292	23292	1	6	5	5	7	2	10	1991	16	-9	0	-9
32	38	38	13292	23292	1	7	5	5	7	2	9	2002	5	-9	0	-9
28	126	126	13008	23008	2	1	0	1	2	1	5	1933	74	-9	0	-9
28	126	126	13008	23008	2	2	1	0	3	2	10	1953	54	8	0	0
28	126	126	13008	23008	2	3	4	4	6	1	10	1991	16	-9	0	-9
28	126	126	13008	23008	2	4	17	2	10	1	9	1930	77	-9	0	-9
14	58	58	12018	22018	1	1	0	0	3	2	4	1959	48	14	0	0
14	58	58	12018	22018	1	2	5	5	34	2	7	1983	24	14	0	0
14	58	58	12018	22018	1	3	8	8	4	1	9	2005	2	-9	0	-9
14	58	58	12018	22018	1	4	9	9	5	2	7	2007	0	-9	0	-9
14	58	58	12018	22018	1	5	30	30	30	2	10	1993	14	-9	0	-9
30	12	12	13164	23164	2	1	0	0	3	2	12	1961	46	5	0	0
30	12	12	13164	23164	2	2	5	5	7	2	1	1986	21	-9	0	-9
30	12	12	13164	23164	2	3	19	19	21	1	6	1983	24	-9	0	-9
30	20	20	13170	23170	2	1	0	1	2	1	10	1955	52	-9	0	-9
30	20	20	13170	23170	2	2	1	0	3	2	12	1957	49	11	0	0
30	20	20	13170	23170	2	3	4	4	6	1	2	1982	25	-9	0	-9
30	20	20	13170	23170	2	4	5	5	7	2	12	1987	18	-9	0	-9
30	20	20	13170	23170	2	5	4	4	6	1	7	1990	17	-9	0	-9
30	34	34	13181	23181	1	1	0	0	3	2	2	1950	57	5	0	0
30	34	34	13181	23181	1	2	4	4	34	1	11	1983	23	11	0	0
30	34	34	13181	23181	1	3	5	5	7	2	1	1989	18	-9	0	-9
30	33	33	13180	23180	1	1	0	1	2	1	9	1944	63	-9	0	-9
28	74	74	12968	22968	2	6	5	5	7	2	11	1993	14	-9	0	-9
28	74	74	12968	22968	2	7	5	5	7	2	9	1994	13	-9	0	-9
28	74	74	12968	22968	2	8	4	4	6	1	12	1997	9	-9	0	-9
28	74	74	12968	22968	2	9	4	4	6	1	9	1999	8	-9	0	-9
30	47	47	13193	23193	2	1	0	1	2	1	9	1951	56	-9	0	-9
30	47	47	13193	23193	2	2	1	0	3	2	11	1948	58	5	0	0
30	47	47	13193	23193	2	3	4	4	6	1	6	1974	33	-9	0	-9
30	47	47	13193	23193	2	4	5	5	7	2	3	1982	25	-9	0	-9
30	47	47	13193	23193	2	5	4	4	6	1	3	1990	17	-9	0	-9
30	47	47	13193	23193	2	6	8	8	15	1	4	1993	14	-9	0	-9
30	47	47	13193	23193	2	7	8	8	15	1	7	1994	13	-9	0	-9
28	167	167	13046	23046	1	1	0	1	2	1	8	1961	46	-9	0	-9
