basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moperson	dayprson	yrperson	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
16	38	38	267	38	38	1	12182	2	26	2005	3	5	5	7	0	2	11	1981	23	1	11	0	0	0
16	38	38	267	38	38	1	12182	2	26	2005	4	9	9	16	0	2	8	2001	3	1	-9	-9	-9	-9
16	38	38	267	38	38	1	12182	2	26	2005	5	5	5	34	0	2	8	1983	21	1	12	0	1	-9
16	38	38	267	38	38	1	12182	2	26	2005	6	19	19	1	0	1	9	1982	22	1	12	0	0	0
16	38	38	267	38	38	1	12182	2	26	2005	7	8	8	4	0	1	10	2002	2	1	-9	-9	-9	-9
16	38	38	267	38	38	1	12182	2	26	2005	8	8	8	4	0	1	9	2004	0	1	-9	-9	-9	-9
16	159	159	16	159	159	2	12279	3	10	2005	1	0	1	2	-9	1	6	1946	58	1	9	0	0	0
16	159	159	16	159	159	2	12279	3	10	2005	2	1	0	3	-9	2	2	1949	56	1	4	0	0	0
16	159	159	16	159	159	2	12279	3	10	2005	3	5	5	7	0	2	7	1981	23	1	3	0	1	-9
16	159	159	16	159	159	2	12279	3	10	2005	4	19	19	21	0	1	5	1979	25	1	11	0	1	-9
16	159	159	16	159	159	2	12279	3	10	2005	5	9	9	16	0	2	2	2001	4	1	-9	-9	-9	-9
16	159	159	16	159	159	2	12279	3	10	2005	6	9	9	16	0	2	11	2002	2	1	-9	-9	-9	-9
16	142	142	225	142	142	2	12266	3	11	2005	1	0	0	3	-9	2	10	1956	48	1	13	0	1	-9
16	142	142	225	142	142	2	12266	3	11	2005	2	5	5	7	-9	2	6	1985	19	1	13	0	1	-9
16	142	142	225	142	142	2	12266	3	11	2005	3	5	5	7	-9	2	12	1986	18	1	11	0	1	-9
16	155	155	16	2292	155	1	12276	3	12	2005	1	0	0	3	-9	2	8	1960	44	1	6	0	1	-9
16	155	155	16	2292	155	1	12276	3	12	2005	2	5	5	34	-9	2	4	1984	20	1	23	0	0	1
16	155	155	16	2292	155	1	12276	3	12	2005	3	4	4	6	-9	1	2	1986	19	1	9	1	0	0
16	155	155	16	2292	155	1	12276	3	12	2005	4	5	5	7	-9	2	9	1990	14	1	6	1	1	-9
16	155	155	16	2292	155	1	12276	3	12	2005	5	4	4	6	-9	1	12	1994	10	1	1	1	0	0
16	155	155	16	2292	155	1	12276	3	12	2005	6	4	4	6	-9	1	8	1996	8	1	1	1	0	0
16	155	155	16	2292	155	1	12276	3	12	2005	7	5	5	7	-9	2	1	1998	7	1	0	1	0	0
16	84	84	16	84	84	1	12216	4	16	2005	1	0	1	2	-9	1	12	1949	55	1	11	0	1	-9
16	84	84	16	84	84	1	12216	4	16	2005	2	1	0	3	-9	2	6	1945	59	1	17	0	1	-9
16	84	84	16	84	84	1	12216	4	16	2005	3	4	4	6	-9	1	5	1974	30	1	9	0	1	-9
16	84	84	16	84	84	1	12216	4	16	2005	4	5	5	7	-9	2	4	1976	28	1	16	0	1	-9
16	95	95	16	95	95	1	12227	3	8	2005	1	0	1	2	-9	1	10	1958	46	1	9	0	1	-9
16	95	95	16	95	95	1	12227	3	8	2005	2	1	0	3	-9	2	4	1956	48	1	6	0	0	0
16	95	95	16	95	95	1	12227	3	8	2005	3	4	4	6	-9	1	8	1982	22	1	13	0	1	-9
16	95	95	16	95	95	1	12227	3	8	2005	4	4	4	34	-9	1	10	1983	21	1	23	0	1	-9
16	95	95	16	95	95	1	12227	3	8	2005	5	5	5	7	-9	2	4	1997	7	1	1	1	0	0
16	84	84	16	84	84	1	12216	4	16	2005	5	5	5	34	-9	2	7	1983	21	1	14	1	0	0
13	443	443	13	443	443	2	13321	3	13	2005	1	0	1	2	-9	1	10	1963	41	1	6	0	1	-9
13	443	443	13	443	443	2	13321	3	13	2005	2	1	0	3	-9	2	1	1963	42	1	4	0	1	-9
13	443	443	13	443	443	2	13321	3	13	2005	3	4	4	352	-9	1	12	1983	21	1	11	0	0	1
13	443	443	13	443	443	2	13321	3	13	2005	4	4	4	6	0	1	2	1981	24	1	11	0	1	-9
13	443	443	13	443	443	2	13321	3	13	2005	5	20	20	22	0	2	1	1982	23	1	13	0	0	0
13	443	443	13	443	443	2	13321	3	13	2005	6	9	9	16	0	2	11	2003	1	1	-9	-9	-9	-9
16	85	85	16	85	85	1	12217	3	9	2005	1	0	1	2	-9	1	12	1954	50	1	9	0	1	-9
16	85	85	16	85	85	1	12217	3	9	2005	2	1	0	3	-9	2	11	1956	48	1	6	0	1	-9
16	85	85	16	85	85	1	12217	3	9	2005	3	5	5	7	-9	2	3	1978	26	1	15	0	1	-9
16	85	85	16	85	85	1	12217	3	9	2005	4	5	5	7	-9	2	2	1981	24	1	11	0	1	-9
16	85	85	16	85	85	1	12217	3	9	2005	5	4	4	34	-9	1	7	1983	21	1	12	0	1	-9
16	85	85	16	85	85	1	12217	3	9	2005	6	4	4	6	-9	1	8	1993	11	1	4	1	0	0
16	85	85	16	85	85	1	12217	3	9	2005	7	9	9	16	0	2	11	1998	6	1	0	0	0	0
16	85	85	16	85	85	1	12217	3	9	2005	8	8	8	15	0	1	7	2000	4	1	-9	-9	-9	-9
16	144	144	16	144	144	1	12268	5	15	2005	1	0	1	2	-9	1	7	1958	46	1	13	0	1	-9
16	144	144	16	144	144	1	12268	5	15	2005	2	1	0	3	-9	2	8	1957	47	1	11	0	1	-9
16	144	144	16	144	144	1	12268	5	15	2005	3	5	5	7	-9	2	5	1982	23	1	15	0	1	-9
16	144	144	16	144	144	1	12268	5	15	2005	4	4	4	34	-9	1	1	1984	21	1	15	0	0	0
16	144	144	16	144	144	1	12268	5	15	2005	5	5	5	7	-9	2	1	1994	11	1	5	0	0	0
16	144	144	16	144	144	1	12268	5	15	2005	6	4	4	6	-9	1	10	1995	9	1	3	0	0	0
16	144	144	16	144	144	1	12268	5	15	2005	7	30	30	30	1	2	7	1962	42	1	6	0	-7	-7
16	144	144	16	144	144	1	12268	5	15	2005	8	30	30	30	1	2	8	1988	16	1	6	0	-7	-7
14	34	34	14	34	34	2	12003	3	19	2005	6	8	8	15	0	1	9	1995	9	1	2	1	0	0
14	101	101	245	3419	101	1	12054	3	31	2005	1	0	1	2	-9	1	4	1949	55	1	14	0	1	-9
